Designator,Mid X,Mid Y,Rotation,Layer
_1893,100.28,57.912,0.0,top
_1892,67.26,111.252,0.0,top
_1891,85.04,149.352,0.0,top
_1890,143.46,129.032,0.0,top
_1889,176.48,108.712,0.0,top
_1888,135.84,52.832,0.0,top
_1887,74.88,78.232,0.0,top
_1886,118.06,83.312,0.0,top
_1885,128.22,126.492,0.0,top
_1884,123.14,141.732,0.0,top
_1883,102.82,45.212,0.0,top
_1882,143.46,118.872,0.0,top
_1881,153.62,151.892,0.0,top
_1880,125.68,65.532,0.0,top
_1879,166.32,98.552,0.0,top
_1878,105.36,134.112,0.0,top
_1877,148.54,118.872,0.0,top
_1876,156.16,106.172,0.0,top
_1875,92.66,85.852,0.0,top
_1874,97.74,106.172,0.0,top
_1873,110.44,136.652,0.0,top
_1872,105.36,93.472,0.0,top
_1871,62.18,75.692,0.0,top
_1870,120.6,146.812,0.0,top
_1869,110.44,129.032,0.0,top
_1868,125.68,139.192,0.0,top
_1867,77.42,90.932,0.0,top
_1866,92.66,45.212,0.0,top
_1865,123.14,73.152,0.0,top
_1864,153.62,85.852,0.0,top
_1863,130.76,141.732,0.0,top
_1862,156.16,50.292,0.0,top
_1861,168.86,88.392,0.0,top
_1860,64.72,131.572,0.0,top
_1859,151.08,60.452,0.0,top
_1858,118.06,141.732,0.0,top
_1857,143.46,146.812,0.0,top
_1856,105.36,126.492,0.0,top
_1855,74.88,85.852,0.0,top
_1854,166.32,154.432,0.0,top
_1853,156.16,47.752,0.0,top
_1852,112.98,126.492,0.0,top
_1851,123.14,121.412,0.0,top
_1850,72.34,149.352,0.0,top
_1849,67.26,45.212,0.0,top
_1848,138.38,144.272,0.0,top
_1847,135.84,80.772,0.0,top
_1846,143.46,85.852,0.0,top
_1845,146.0,70.612,0.0,top
_1844,64.72,70.612,0.0,top
_1843,77.42,131.572,0.0,top
_1842,79.96,129.032,0.0,top
_1841,82.5,103.632,0.0,top
_1840,123.14,83.312,0.0,top
_1839,179.02,136.652,0.0,top
_1838,90.12,126.492,0.0,top
_1837,156.16,118.872,0.0,top
_1836,110.44,106.172,0.0,top
_1835,161.24,88.392,0.0,top
_1834,77.42,78.232,0.0,top
_1833,105.36,85.852,0.0,top
_1832,146.0,65.532,0.0,top
_1831,87.58,149.352,0.0,top
_1830,158.7,78.232,0.0,top
_1829,176.48,88.392,0.0,top
_1828,69.8,129.032,0.0,top
_1827,107.9,85.852,0.0,top
_1826,100.28,62.992,0.0,top
_1825,67.26,123.952,0.0,top
_1824,173.94,131.572,0.0,top
_1823,158.7,93.472,0.0,top
_1822,163.78,70.612,0.0,top
_1821,166.32,90.932,0.0,top
_1820,135.84,118.872,0.0,top
_1819,69.8,116.332,0.0,top
_1818,102.82,134.112,0.0,top
_1817,69.8,62.992,0.0,top
_1816,138.38,47.752,0.0,top
_1815,135.84,83.312,0.0,top
_1814,148.54,139.192,0.0,top
_1813,128.22,103.632,0.0,top
_1812,74.88,121.412,0.0,top
_1811,125.68,50.292,0.0,top
_1810,74.88,146.812,0.0,top
_1809,90.12,78.232,0.0,top
_1808,105.36,45.212,0.0,top
_1807,156.16,78.232,0.0,top
_1806,118.06,93.472,0.0,top
_1805,105.36,103.632,0.0,top
_1804,105.36,78.232,0.0,top
_1803,130.76,126.492,0.0,top
_1802,125.68,68.072,0.0,top
_1801,85.04,151.892,0.0,top
_1800,151.08,96.012,0.0,top
_1799,156.16,103.632,0.0,top
_1798,85.04,57.912,0.0,top
_1797,87.58,57.912,0.0,top
_1796,115.52,101.092,0.0,top
_1795,82.5,78.232,0.0,top
_1794,158.7,123.952,0.0,top
_1793,72.34,60.452,0.0,top
_1792,92.66,106.172,0.0,top
_1791,100.28,139.192,0.0,top
_1790,163.78,55.372,0.0,top
_1789,163.78,45.212,0.0,top
_1788,115.52,50.292,0.0,top
_1787,133.3,126.492,0.0,top
_1786,92.66,75.692,0.0,top
_1785,158.7,118.872,0.0,top
_1784,112.98,118.872,0.0,top
_1783,79.96,116.332,0.0,top
_1782,64.72,75.692,0.0,top
_1781,105.36,83.312,0.0,top
_1780,158.7,111.252,0.0,top
_1779,130.76,144.272,0.0,top
_1778,72.34,108.712,0.0,top
_1777,148.54,129.032,0.0,top
_1776,97.74,101.092,0.0,top
_1775,146.0,55.372,0.0,top
_1774,179.02,70.612,0.0,top
_1773,90.12,103.632,0.0,top
_1772,64.72,103.632,0.0,top
_1771,115.52,106.172,0.0,top
_1770,120.6,62.992,0.0,top
_1769,130.76,60.452,0.0,top
_1768,77.42,55.372,0.0,top
_1767,62.18,62.992,0.0,top
_1766,102.82,149.352,0.0,top
_1765,151.08,108.712,0.0,top
_1764,176.48,98.552,0.0,top
_1763,87.58,47.752,0.0,top
_1762,77.42,75.692,0.0,top
_1761,95.2,98.552,0.0,top
_1760,105.36,129.032,0.0,top
_1759,64.72,52.832,0.0,top
_1758,168.86,118.872,0.0,top
_1757,69.8,144.272,0.0,top
_1756,135.84,101.092,0.0,top
_1755,133.3,57.912,0.0,top
_1754,168.86,85.852,0.0,top
_1753,85.04,126.492,0.0,top
_1752,135.84,111.252,0.0,top
_1751,128.22,101.092,0.0,top
_1750,176.48,52.832,0.0,top
_1749,153.62,139.192,0.0,top
_1748,158.7,151.892,0.0,top
_1747,82.5,88.392,0.0,top
_1746,102.82,57.912,0.0,top
_1745,87.58,121.412,0.0,top
_1744,77.42,101.092,0.0,top
_1743,64.72,134.112,0.0,top
_1742,77.42,146.812,0.0,top
_1741,161.24,96.012,0.0,top
_1740,168.86,113.792,0.0,top
_1739,67.26,134.112,0.0,top
_1738,138.38,118.872,0.0,top
_1737,67.26,80.772,0.0,top
_1736,79.96,50.292,0.0,top
_1735,135.84,123.952,0.0,top
_1734,64.72,57.912,0.0,top
_1733,110.44,98.552,0.0,top
_1732,77.42,103.632,0.0,top
_1731,128.22,146.812,0.0,top
_1730,112.98,96.012,0.0,top
_1729,128.22,106.172,0.0,top
_1728,79.96,55.372,0.0,top
_1727,171.4,116.332,0.0,top
_1726,118.06,80.772,0.0,top
_1725,74.88,123.952,0.0,top
_1724,181.56,98.552,0.0,top
_1723,173.94,88.392,0.0,top
_1722,140.92,78.232,0.0,top
_1721,92.66,151.892,0.0,top
_1720,146.0,47.752,0.0,top
_1719,171.4,83.312,0.0,top
_1718,74.88,144.272,0.0,top
_1717,85.04,83.312,0.0,top
_1716,79.96,93.472,0.0,top
_1715,156.16,60.452,0.0,top
_1714,128.22,45.212,0.0,top
_1713,102.82,90.932,0.0,top
_1712,110.44,121.412,0.0,top
_1711,107.9,80.772,0.0,top
_1710,112.98,85.852,0.0,top
_1709,102.82,80.772,0.0,top
_1708,140.92,106.172,0.0,top
_1707,85.04,96.012,0.0,top
_1706,128.22,85.852,0.0,top
_1705,110.44,151.892,0.0,top
_1704,64.72,108.712,0.0,top
_1703,97.74,131.572,0.0,top
_1702,115.52,96.012,0.0,top
_1701,87.58,126.492,0.0,top
_1700,179.02,131.572,0.0,top
_1699,82.5,62.992,0.0,top
_1698,67.26,146.812,0.0,top
_1697,179.02,103.632,0.0,top
_1696,92.66,118.872,0.0,top
_1695,153.62,93.472,0.0,top
_1694,153.62,60.452,0.0,top
_1693,156.16,96.012,0.0,top
_1692,168.86,55.372,0.0,top
_1691,90.12,151.892,0.0,top
_1690,153.62,98.552,0.0,top
_1689,171.4,111.252,0.0,top
_1688,168.86,139.192,0.0,top
_1687,115.52,78.232,0.0,top
_1686,107.9,103.632,0.0,top
_1685,156.16,45.212,0.0,top
_1684,171.4,154.432,0.0,top
_1683,176.48,141.732,0.0,top
_1682,125.68,154.432,0.0,top
_1681,90.12,146.812,0.0,top
_1680,90.12,65.532,0.0,top
_1679,118.06,106.172,0.0,top
_1678,138.38,121.412,0.0,top
_1677,69.8,141.732,0.0,top
_1676,179.02,68.072,0.0,top
_1675,107.9,70.612,0.0,top
_1674,146.0,50.292,0.0,top
_1673,140.92,121.412,0.0,top
_1672,100.28,90.932,0.0,top
_1671,133.3,70.612,0.0,top
_1670,179.02,73.152,0.0,top
_1669,107.9,75.692,0.0,top
_1668,79.96,149.352,0.0,top
_1667,158.7,134.112,0.0,top
_1666,115.52,149.352,0.0,top
_1665,97.74,126.492,0.0,top
_1664,128.22,47.752,0.0,top
_1663,161.24,108.712,0.0,top
_1662,156.16,70.612,0.0,top
_1661,79.96,111.252,0.0,top
_1660,87.58,96.012,0.0,top
_1659,148.54,134.112,0.0,top
_1658,82.5,83.312,0.0,top
_1657,85.04,116.332,0.0,top
_1656,72.34,57.912,0.0,top
_1655,173.94,78.232,0.0,top
_1654,85.04,85.852,0.0,top
_1653,128.22,68.072,0.0,top
_1652,133.3,101.092,0.0,top
_1651,146.0,83.312,0.0,top
_1650,112.98,144.272,0.0,top
_1649,171.4,60.452,0.0,top
_1648,153.62,136.652,0.0,top
_1647,64.72,78.232,0.0,top
_1646,128.22,93.472,0.0,top
_1645,112.98,98.552,0.0,top
_1644,161.24,93.472,0.0,top
_1643,158.7,136.652,0.0,top
_1642,64.72,139.192,0.0,top
_1641,115.52,103.632,0.0,top
_1640,146.0,75.692,0.0,top
_1639,143.46,149.352,0.0,top
_1638,133.3,80.772,0.0,top
_1637,112.98,55.372,0.0,top
_1636,107.9,136.652,0.0,top
_1635,161.24,68.072,0.0,top
_1634,92.66,93.472,0.0,top
_1633,156.16,134.112,0.0,top
_1632,151.08,73.152,0.0,top
_1631,107.9,139.192,0.0,top
_1630,64.72,65.532,0.0,top
_1629,67.26,60.452,0.0,top
_1628,138.38,85.852,0.0,top
_1627,120.6,68.072,0.0,top
_1626,97.74,88.392,0.0,top
_1625,74.88,103.632,0.0,top
_1624,156.16,90.932,0.0,top
_1623,72.34,65.532,0.0,top
_1622,143.46,93.472,0.0,top
_1621,92.66,149.352,0.0,top
