Designator,Mid X,Mid Y,Rotation,Layer
_261,67.26,55.340388,0.0,top
_260,133.3,45.212,0.0,top
_259,163.78,149.352,0.0,top
_258,120.6,73.152,0.0,top
_257,62.18,62.960388,0.0,top
_256,179.02,90.932,0.0,top
_255,62.18,55.340388,0.0,top
_254,184.1,90.932,0.0,top
_253,133.3,42.672,0.0,top
_252,100.28,52.832,0.0,top
_251,72.34,65.500388,0.0,top
_250,67.26,62.960388,0.0,top
_249,156.16,42.672,0.0,top
_248,168.86,47.752,0.0,top
_247,100.28,47.752,0.0,top
_246,173.94,52.832,0.0,top
_245,115.52,106.140388,0.0,top
_244,130.76,42.672,0.0,top
_243,163.78,50.292,0.0,top
_242,77.42,60.452,0.0,top
_241,125.68,73.152,0.0,top
_240,118.06,93.503612,0.0,top
_239,166.32,129.032,0.0,top
_238,128.22,55.372,0.0,top
_237,133.3,57.912,0.0,top
_236,77.42,65.532,0.0,top
_235,130.76,47.752,0.0,top
_234,138.38,47.752,0.0,top
_233,181.56,65.532,0.0,top
_232,64.72,123.983612,0.0,top
_231,118.06,60.452,0.0,top
_230,130.76,55.372,0.0,top
_229,179.02,80.772,0.0,top
_228,168.86,40.132,0.0,top
_227,179.02,88.392,0.0,top
_226,74.88,57.912,0.0,top
_225,125.68,75.692,0.0,top
_224,74.88,65.532,0.0,top
_223,64.72,55.372,0.0,top
_222,112.98,93.472,0.0,top
_221,110.44,47.752,0.0,top
_220,105.36,40.132,0.0,top
_219,120.6,75.692,0.0,top
_218,163.78,129.032,0.0,top
_217,148.54,47.752,0.0,top
_216,118.06,78.232,0.0,top
_215,115.52,93.472,0.0,top
_214,130.76,60.452,0.0,top
_213,151.08,47.752,0.0,top
_212,128.22,78.232,0.0,top
_211,130.76,129.032,0.0,top
_210,115.52,42.672,0.0,top
_209,57.1,62.960388,0.0,top
_208,133.3,40.132,0.0,top
_207,138.38,45.212,0.0,top
_206,125.68,62.992,0.0,top
_205,118.06,96.043612,0.0,top
_204,120.6,70.612,0.0,top
_203,179.02,42.672,0.0,top
_202,173.94,55.372,0.0,top
_201,128.22,57.912,0.0,top
_200,166.32,55.372,0.0,top
_199,128.22,40.132,0.0,top
_198,179.02,50.292,0.0,top
_197,120.6,57.912,0.0,top
_196,179.02,55.372,0.0,top
_195,184.1,96.012,0.0,top
_194,120.6,55.372,0.0,top
_193,176.48,154.432,0.0,top
_192,115.52,47.752,0.0,top
_191,120.6,83.312,0.0,top
_190,107.9,40.132,0.0,top
_189,181.56,68.072,0.0,top
_188,138.38,40.132,0.0,top
_187,69.8,60.420388,0.0,top
_186,146.0,47.752,0.0,top
_185,128.22,60.452,0.0,top
_184,148.54,45.212,0.0,top
_183,166.32,149.352,0.0,top
_182,153.62,50.292,0.0,top
_181,179.02,70.612,0.0,top
_180,69.8,65.500388,0.0,top
_179,112.98,50.292,0.0,top
_178,171.4,47.752,0.0,top
_177,125.638968,90.932,0.0,top
_176,179.02,151.892,0.0,top
_175,140.92,42.672,0.0,top
_174,102.82,40.132,0.0,top
_173,179.02,57.912,0.0,top
_172,184.1,88.392,0.0,top
_171,166.32,146.812,0.0,top
_170,179.02,75.692,0.0,top
_169,107.9,45.212,0.0,top
_168,179.02,68.072,0.0,top
_167,120.6,113.760388,0.0,top
_166,62.18,146.812,0.0,top
_165,181.56,96.012,0.0,top
_164,125.68,60.452,0.0,top
_163,156.16,40.132,0.0,top
_162,128.22,93.472,0.0,top
_161,110.44,42.672,0.0,top
_160,184.1,75.692,0.0,top
_159,59.64,65.500388,0.0,top
_158,173.94,151.892,0.0,top
_157,123.14,113.792,0.0,top
_156,171.4,151.923612,0.0,top
_155,74.88,55.372,0.0,top
_154,179.02,65.532,0.0,top
_153,112.98,45.212,0.0,top
_152,110.44,45.212,0.0,top
_151,171.4,42.672,0.0,top
_150,179.02,83.312,0.0,top
_149,110.44,88.392,0.0,top
_148,181.56,149.352,0.0,top
_147,173.94,50.292,0.0,top
_146,148.54,42.672,0.0,top
_145,140.92,129.032,0.0,top
_144,151.08,129.032,0.0,top
_143,118.06,57.912,0.0,top
